ADAM12
CDH11
CDH2
COL1A1
COL3A1
COL5A1
COL6A1
COL6A3
CTGF
CYP1B1
DLC1
FBLN1
FBLN5
FGF2
FGFR1
FN1
HAS2
LAMC2
LUM
MMP2
MYL9
NID2
NR2F1
NRP1
PLAT
PPAP2B
PRKCA
RECK
SERPINE1
SERPINE2
SPOCK1
TGM2
TNFAIP6
TPM1
VCAN
WNT5A
CDKN2C
EMP3
FBN1
IGFBP3
IL1R1
LTBP1
MME
PMP22
PTGER2
PTX3
SRGN
SULF
SYNE1
TAGLN
TUBA1A
VIM
ZEB1
DCN
LOX
TFPI
ABCA1
GALNT10
SLC22A4
C5orf13
CDK14
EML1
FSTL1
LTBP2
MAP1B
RGS4
SYT11
TMEM158
CD24
CDH1
CXADR
CXCL16
DSG3
ELF3
EPCAM
EPHA1
JUP
MPZL2
OVOL2
PLXNB1
S100P
SLC7A5
SYK
ABLIM1
ADRB2
ALDH1A3
ANK3
BIK
CA2
CTSL2
FGFR2
FGFR3
FST
GJB3
IFI30
IL18
KLK7
KRT15
KRT17
LSR
MAP7
MBP
OCLN
PKP2
PPL
PRSS8
RAPGEF5
SPINT1
GPX3
SLC27A2
SMPDL3B
SORL1
ST6GALNAC2
AGR2
C10orf10
CDS1
FAM169A
FXYD3
KLK10
LAD1
MTUS1
PLS1
PRRG4
RHOD
SERPINB1
SLPI
TMEM30B
TPD52L1
TSPAN1
ZHX2
ZNF165
