file_name,subject_ID
RRBS_cpgMethylation_EWS_T54.bed,EWS_T54
RRBS_cpgMethylation_EWS_T55.bed,EWS_T55
RRBS_cpgMethylation_EWS_T56.bed,EWS_T56
RRBS_cpgMethylation_EWS_T57.bed,EWS_T57
RRBS_cpgMethylation_EWS_T58.bed,EWS_T58
RRBS_cpgMethylation_EWS_T59.bed,EWS_T59
RRBS_cpgMethylation_EWS_T6.bed,EWS_T6
RRBS_cpgMethylation_EWS_T60.bed,EWS_T60
RRBS_cpgMethylation_EWS_T61.bed,EWS_T61
RRBS_cpgMethylation_EWS_T62.bed,EWS_T62
RRBS_cpgMethylation_EWS_T63.bed,EWS_T63
RRBS_cpgMethylation_EWS_T64.bed,EWS_T64
RRBS_cpgMethylation_EWS_T65.bed,EWS_T65
RRBS_cpgMethylation_EWS_T66.bed,EWS_T66
RRBS_cpgMethylation_EWS_T67.bed,EWS_T67
RRBS_cpgMethylation_EWS_T68.bed,EWS_T68
RRBS_cpgMethylation_EWS_T69.bed,EWS_T69
RRBS_cpgMethylation_EWS_T7.bed,EWS_T7
RRBS_cpgMethylation_EWS_T70.bed,EWS_T70
RRBS_cpgMethylation_EWS_T71.bed,EWS_T71
RRBS_cpgMethylation_EWS_T72.bed,EWS_T72
RRBS_cpgMethylation_EWS_T73.bed,EWS_T73
RRBS_cpgMethylation_EWS_T74.bed,EWS_T74
RRBS_cpgMethylation_EWS_T75.bed,EWS_T75
RRBS_cpgMethylation_EWS_T76.bed,EWS_T76
RRBS_cpgMethylation_EWS_T77.bed,EWS_T77
RRBS_cpgMethylation_EWS_T78.bed,EWS_T78
RRBS_cpgMethylation_EWS_T79.bed,EWS_T79
RRBS_cpgMethylation_EWS_T8.bed,EWS_T8
RRBS_cpgMethylation_EWS_T80.bed,EWS_T80
RRBS_cpgMethylation_EWS_T81.bed,EWS_T81
RRBS_cpgMethylation_EWS_T82.bed,EWS_T82
RRBS_cpgMethylation_EWS_T83.bed,EWS_T83
RRBS_cpgMethylation_EWS_T84.bed,EWS_T84
RRBS_cpgMethylation_EWS_T85.bed,EWS_T85
RRBS_cpgMethylation_EWS_T86.bed,EWS_T86
RRBS_cpgMethylation_EWS_T87.bed,EWS_T87
RRBS_cpgMethylation_EWS_T88.bed,EWS_T88
RRBS_cpgMethylation_EWS_T89.bed,EWS_T89
RRBS_cpgMethylation_EWS_T9.bed,EWS_T9
RRBS_cpgMethylation_EWS_T90.bed,EWS_T90
RRBS_cpgMethylation_EWS_T91.bed,EWS_T91
RRBS_cpgMethylation_EWS_T92.bed,EWS_T92
RRBS_cpgMethylation_EWS_T93.bed,EWS_T93
RRBS_cpgMethylation_EWS_T94.bed,EWS_T94
RRBS_cpgMethylation_EWS_T95.bed,EWS_T95
RRBS_cpgMethylation_EWS_T96.bed,EWS_T96
RRBS_cpgMethylation_EWS_T97.bed,EWS_T97
RRBS_cpgMethylation_EWS_T98.bed,EWS_T98
RRBS_cpgMethylation_EWS_T99.bed,EWS_T99
